% ID         RA        Dec     Ebv   Gal Long  Gal Lat   Ecl Long  Ecl Lat   Entry 
000202  145.57785   -2.37870   0.03  238.1693   35.7548  148.6710  -15.2329    202 
000203  148.08781   -2.37870   0.04  240.0501   37.7596  151.1062  -14.3693    203 
000204  150.59777   -2.37870   0.05  242.0395   39.7300  153.5242  -13.4852    204 
000205  153.10773   -2.37870   0.03  244.1495   41.6615  155.9258  -12.5825    205 
000206  155.61770   -2.37870   0.04  246.3933   43.5489  158.3120  -11.6627    206 
000207  158.12766   -2.37870   0.04  248.7851   45.3866  160.6841  -10.7276    207 
000208  160.63762   -2.37870   0.06  251.3398   47.1677  163.0433   -9.7788    208 
000209  163.14759   -2.37870   0.04  254.0734   48.8848  165.3906   -8.8181    209 
000210  165.65755   -2.37870   0.04  257.0018   50.5292  167.7275   -7.8471    210 
000211  168.16751   -2.37870   0.03  260.1410   52.0914  170.0553   -6.8675    211 
000212  170.67747   -2.37870   0.05  263.5056   53.5605  172.3752   -5.8809    212 
000213  173.18744   -2.37870   0.02  267.1076   54.9246  174.6887   -4.8889    213 
000214  175.69740   -2.37870   0.02  270.9554   56.1710  176.9972   -3.8932    214 
000215  178.20736   -2.37870   0.02  275.0511   57.2859  179.3020   -2.8954    215 
000216  180.71733   -2.37870   0.02  279.3889   58.2555  181.6046   -1.8970    216 
000217  183.22729   -2.37870   0.02  283.9531   59.0660  183.9063   -0.8999    217 
000218  185.73725   -2.37870   0.02  288.7165   59.7044  186.2086    0.0946    218 
000219  188.24721   -2.37870   0.03  293.6399   60.1598  188.5128    1.0847    219 
000220  190.75718   -2.37870   0.03  298.6734   60.4235  190.8203    2.0689    220 
000221  193.26714   -2.37870   0.02  303.7589   60.4904  193.1325    3.0455    221 
000222  195.77710   -2.37870   0.02  308.8342   60.3592  195.4506    4.0129    222 
000223  198.28707   -2.37870   0.02  313.8379   60.0325  197.7759    4.9696    223 
000224  200.79703   -2.37870   0.03  318.7143   59.5166  200.1097    5.9139    224 
000225  203.30699   -2.37870   0.03  323.4167   58.8210  202.4531    6.8441    225 
000226  205.81695   -2.37870   0.04  327.9098   57.9574  204.8073    7.7588    226 
000227  208.32692   -2.37870   0.04  332.1702   56.9390  207.1733    8.6561    227 
000228  210.83688   -2.37870   0.06  336.1856   55.7798  209.5521    9.5346    228 
000229  213.34684   -2.37870   0.06  339.9529   54.4937  211.9447   10.3926    229 
000230  215.85681   -2.37870   0.05  343.4767   53.0942  214.3518   11.2285    230 
000231  218.36677   -2.37870   0.05  346.7666   51.5936  216.7743   12.0406    231 
000232  220.87673   -2.37870   0.05  349.8356   50.0036  219.2127   12.8274    232 
000233  223.38669   -2.37870   0.08  352.6990   48.3345  221.6676   13.5872    233 
000234  225.89666   -2.37870   0.07  355.3727   46.5958  224.1394   14.3185    234 
000235  228.40662   -2.37870   0.11  357.8728   44.7955  226.6283   15.0197    235 
000236  230.91658   -2.37870   0.16    0.2149   42.9410  229.1345   15.6893    236 
000237  233.42655   -2.37870   0.19    2.4138   41.0386  231.6581   16.3257    237 
000238  235.93651   -2.37870   0.19    4.4832   39.0940  234.1989   16.9275    238 
000239  238.44647   -2.37870   0.28    6.4361   37.1120  236.7566   17.4933    239 
000240  240.95643   -2.37870   0.23    8.2840   35.0969  239.3308   18.0217    240 
000241  243.46640   -2.37870   0.14   10.0378   33.0525  241.9208   18.5115    241 
000242  245.97636   -2.37870   0.15   11.7071   30.9822  244.5261   18.9612    242 
000243  248.48632   -2.37870   0.24   13.3008   28.8888  247.1456   19.3699    243 
